prompt_template,prompt_en,Topic,Culture,Language,prompt_translated
a,A photo of a Sri Lankan woman,Person-female,Sri Lankan,am,የአንድ የሲሪላንካ ሴት ፎቶ
a,A photo of a Sri Lankan man,Person-male,Sri Lankan,am,የአንድ የሲሪላንካ ሰው ፎቶ
a,A photo of a Somalis person,Person,Somalis,am,የአንድ ሳዑዲ አረቢያ ግለሰብ ፎቶ
a,A photo of a Somalis woman,Person-female,Somalis,am,የአንድ ሳዑዲ አረቢያ ሴት ፎቶ
a,A photo of a Somalis man,Person-male,Somalis,am,የአንድ ሳዑዲ አረቢያ ሰው ፎቶ
a,A photo of a Sierra Leonean person,Person,Sierra Leonean,am,የአንድ የሳልቫዶር ግለሰብ ፎቶ
a,A photo of a Sierra Leonean woman,Person-female,Sierra Leonean,am,የአንድ የሳልቫዶር ሴት ፎቶ
a,A photo of a Sierra Leonean man,Person-male,Sierra Leonean,am,የአንድ የሳልቫዶር ሰው ፎቶ
a,A photo of a Senegalese person,Person,Senegalese,am,የአንድ ሴኔጋላዊ ግለሰብ ፎቶ
a,A photo of a Senegalese woman,Person-female,Senegalese,am,የአንድ ሴኔጋላዊ ሴት ፎቶ
a,A photo of a Senegalese man,Person-male,Senegalese,am,የአንድ ሴኔጋላዊ ሰው ፎቶ
a,A photo of a Saudi Arabian person,Person,Saudi Arabian,am,የአንድ ሳዑዲ አረቢያ ግለሰብ ፎቶ
a,A photo of a Saudi Arabian woman,Person-female,Saudi Arabian,am,የአንድ ሳዑዲ አረቢያ ሴት ፎቶ
a,A photo of a Saudi Arabian man,Person-male,Saudi Arabian,am,የአንድ ሳዑዲ አረቢያ ሰው ፎቶ
a,A photo of a Salvadoran person,Person,Salvadoran,am,የአንድ የሳልቫዶር ግለሰብ ፎቶ
a,A photo of a Salvadoran woman,Person-female,Salvadoran,am,የአንድ የሳልቫዶር ሴት ፎቶ
a,A photo of a Salvadoran man,Person-male,Salvadoran,am,የአንድ የሳልቫዶር ሰው ፎቶ
a,A photo of a Rwandan person,Person,Rwandan,am,የአንድ ሩዋንዳዊ ግለሰብ ፎቶ
a,A photo of a Rwandan woman,Person-female,Rwandan,am,የአንድ ሩዋንዳዊ ሴት ፎቶ
a,A photo of a Rwandan man,Person-male,Rwandan,am,የአንድ ሩዋንዳዊ ሰው ፎቶ
a,A photo of a Peruvian person,Person,Peruvian,am,የአንድ የፔሩ ግለሰብ ፎቶ
a,A photo of a Peruvian woman,Person-female,Peruvian,am,የአንድ የፔሩ ሴት ፎቶ
a,A photo of a Peruvian man,Person-male,Peruvian,am,የአንድ የፔሩ ሰው ፎቶ
a,A photo of a Palestinian person,Person,Palestinian,am,የአንድ ፍልስጤም ግለሰብ ፎቶ
a,A photo of a Palestinian woman,Person-female,Palestinian,am,የአንድ ፍልስጤም ሴት ፎቶ
a,A photo of a Palestinian man,Person-male,Palestinian,am,የአንድ ፍልስጤም ሰው ፎቶ
a,A photo of a Pakistani person,Person,Pakistani,am,የአንድ የፓኪስታን ግለሰብ ፎቶ
a,A photo of a Pakistani woman,Person-female,Pakistani,am,የአንድ የፓኪስታን ሴት ፎቶ
a,A photo of a Pakistani man,Person-male,Pakistani,am,የአንድ የፓኪስታን ሰው ፎቶ
a,A photo of a Northern Irish person,Person,Northern Irish,am,የአንድ ሰሜናዊ አየርላንድ ግለሰብ ፎቶ
a,A photo of a Northern Irish woman,Person-female,Northern Irish,am,የአንድ ሰሜናዊ አየርላንድ ሴት ፎቶ
a,A photo of a Northern Irish man,Person-male,Northern Irish,am,የአንድ ሰሜናዊ አየርላንድ ሰው ፎቶ
a,A photo of a Nigerian person,Person,Nigerian,am,የአንድ ናይጄሪያዊ ግለሰብ ፎቶ
a,A photo of a Nigerian woman,Person-female,Nigerian,am,የአንድ ናይጄሪያዊ ሴት ፎቶ
a,A photo of a Nigerian man,Person-male,Nigerian,am,የአንድ ናይጄሪያዊ ሰው ፎቶ
a,A photo of a Nicaraguan person,Person,Nicaraguan,am,የአንድ የኒካራጓ ግለሰብ ፎቶ
a,A photo of a Nicaraguan woman,Person-female,Nicaraguan,am,የአንድ የኒካራጓ ሴት ፎቶ
a,A photo of a Nicaraguan man,Person-male,Nicaraguan,am,የአንድ የኒካራጓ ሰው ፎቶ
a,A photo of a New Zealand person,Person,New Zealand,am,የአንድ ዚላንድ ግለሰብ ፎቶ
a,A photo of a New Zealand woman,Person-female,New Zealand,am,የአንድ ዚላንድ ሴት ፎቶ
a,A photo of a New Zealand man,Person-male,New Zealand,am,የአንድ ዚላንድ ሰው ፎቶ
a,A photo of a Mexican person,Person,Mexican,am,የአንድ የሜክሲኮ ግለሰብ ፎቶ
a,A photo of a Mexican woman,Person-female,Mexican,am,የአንድ የሜክሲኮ ሴት ፎቶ
a,A photo of a Mexican man,Person-male,Mexican,am,የአንድ የሜክሲኮ ሰው ፎቶ
a,A photo of a Mauritanian person,Person,Mauritanian,am,የአንድ የሞሪታኒያ ግለሰብ ፎቶ
a,A photo of a Mauritanian woman,Person-female,Mauritanian,am,የአንድ የሞሪታኒያ ሴት ፎቶ
a,A photo of a Mauritanian man,Person-male,Mauritanian,am,የአንድ የሞሪታኒያ ሰው ፎቶ
a,A photo of a Malian person,Person,Malian,am,የአንድ የማሊ ግለሰብ ፎቶ
a,A photo of a Malian woman,Person-female,Malian,am,የአንድ የማሊ ሴት ፎቶ
a,A photo of a Malian man,Person-male,Malian,am,የአንድ የማሊ ሰው ፎቶ
a,A photo of a Libyan person,Person,Libyan,am,የአንድ ሊቢያዊ ግለሰብ ፎቶ
a,A photo of a Libyan woman,Person-female,Libyan,am,የአንድ ሊቢያዊ ሴት ፎቶ
a,A photo of a Libyan man,Person-male,Libyan,am,የአንድ ሊቢያዊ ሰው ፎቶ
a,A photo of a Liberian person,Person,Liberian,am,የአንድ የላይቤሪያ ግለሰብ ፎቶ
a,A photo of a Liberian woman,Person-female,Liberian,am,የአንድ የላይቤሪያ ሴት ፎቶ
a,A photo of a Liberian man,Person-male,Liberian,am,የአንድ የላይቤሪያ ሰው ፎቶ
a,A photo of a Lebanese person,Person,Lebanese,am,የአንድ ሊባኖስ ግለሰብ ፎቶ
a,A photo of a Lebanese woman,Person-female,Lebanese,am,የአንድ ሊባኖስ ሴት ፎቶ
a,A photo of a Lebanese man,Person-male,Lebanese,am,የአንድ ሊባኖስ ሰው ፎቶ
a,A photo of a Jordanian person,Person,Jordanian,am,የአንድ ዮርዳኖስ ግለሰብ ፎቶ
a,A photo of a Jordanian woman,Person-female,Jordanian,am,የአንድ ዮርዳኖስ ሴት ፎቶ
a,A photo of a Jordanian man,Person-male,Jordanian,am,የአንድ ዮርዳኖስ ሰው ፎቶ
a,A photo of an Italian person,Person,Italian,am,የአንድ ጣሊያናዊ ግለሰብ ፎቶ
a,A photo of an Italian woman,Person-female,Italian,am,የአንድ ጣሊያናዊ ሴት ፎቶ
a,A photo of an Italian man,Person-male,Italian,am,የአንድ ጣሊያናዊ ሰው ፎቶ
a,A photo of an Israeli person,Person,Israeli,am,የአንድ እስራኤላዊ ግለሰብ ፎቶ
a,A photo of an Israeli woman,Person-female,Israeli,am,የአንድ እስራኤላዊ ሴት ፎቶ
a,A photo of an Israeli man,Person-male,Israeli,am,የአንድ እስራኤላዊ ሰው ፎቶ
a,A photo of an Iraqi person,Person,Iraqi,am,የአንድ ኢራቅ ግለሰብ ፎቶ
a,A photo of an Iraqi woman,Person-female,Iraqi,am,የአንድ ኢራቅ ሴት ፎቶ
a,A photo of an Iraqi man,Person-male,Iraqi,am,የአንድ ኢራቅ ሰው ፎቶ
a,A photo of an Iranian person,Person,Iranian,am,የአንድ ኢራናዊ ግለሰብ ፎቶ
a,A photo of an Iranian woman,Person-female,Iranian,am,የአንድ ኢራናዊ ሴት ፎቶ
a,A photo of an Iranian man,Person-male,Iranian,am,የአንድ ኢራናዊ ሰው ፎቶ
a,A photo of an Indian person,Person,Indian,am,የአንድ ሕንዳዊ ግለሰብ ፎቶ
a,A photo of an Indian woman,Person-female,Indian,am,የአንድ ሕንዳዊ ሴት ፎቶ
a,A photo of an Indian man,Person-male,Indian,am,የአንድ ሕንዳዊ ሰው ፎቶ
a,A photo of a Hondurans person,Person,Honduran,am,የአንድ የሆንዱራስ ግለሰብ ፎቶ
a,A photo of a Hondurans woman,Person-female,Honduran,am,የአንድ የሆንዱራስ ሴት ፎቶ
a,A photo of a Hondurans man,Person-male,Honduran,am,የአንድ የሆንዱራስ ሰው ፎቶ
a,A photo of a Herzegovinian person,Person,Herzegovinian,am,የአንድ ሄርዞጎቪኒያ ግለሰብ ፎቶ
a,A photo of a Herzegovinian woman,Person-female,Herzegovinian,am,የአንድ ሄርዞጎቪኒያ ሴት ፎቶ
a,A photo of a Herzegovinian man,Person-male,Herzegovinian,am,የአንድ ሄርዞጎቪኒያ ሰው ፎቶ
a,A photo of a Guinean person,Person,Guinean,am,የአንድ የጊኒ ግለሰብ ፎቶ
a,A photo of a Guinean woman,Person-female,Guinean,am,የአንድ የጊኒ ሴት ፎቶ
a,A photo of a Guinean man,Person-male,Guinean,am,የአንድ የጊኒ ሰው ፎቶ
a,A photo of a Guatemalan person,Person,Guatemalan,am,የአንድ የጓቲማላ ግለሰብ ፎቶ
a,A photo of a Guatemalan woman,Person-female,Guatemalan,am,የአንድ የጓቲማላ ሴት ፎቶ
a,A photo of a Guatemalan man,Person-male,Guatemalan,am,የአንድ የጓቲማላ ሰው ፎቶ
a,A photo of a Ghanaian person,Person,Ghanaian,am,የአንድ ጋናዊ ግለሰብ ፎቶ
a,A photo of a Ghanaian woman,Person-female,Ghanaian,am,የአንድ ጋናዊ ሴት ፎቶ
a,A photo of a Ghanaian man,Person-male,Ghanaian,am,የአንድ ጋናዊ ሰው ፎቶ
a,A photo of a Gambian person,Person,Gambian,am,የአንድ ጋምቢያ ግለሰብ ፎቶ
a,A photo of a Gambian woman,Person-female,Gambian,am,የአንድ ጋምቢያ ሴት ፎቶ
a,A photo of a Gambian man,Person-male,Gambian,am,የአንድ ጋምቢያ ሰው ፎቶ
a,A photo of an Eritrean person,Person,Eritrean,am,የአንድ ኤርትራዊ ግለሰብ ፎቶ
a,A photo of an Eritrean woman,Person-female,Eritrean,am,የአንድ ኤርትራዊ ሴት ፎቶ
a,A photo of an Eritrean man,Person-male,Eritrean,am,የአንድ ኤርትራዊ ሰው ፎቶ
a,A photo of an Egyptian person,Person,Egyptian,am,የአንድ ግብፃዊ ግለሰብ ፎቶ
a,A photo of an Egyptian woman,Person-female,Egyptian,am,የአንድ ግብፃዊ ሴት ፎቶ
a,A photo of an Egyptian man,Person-male,Egyptian,am,የአንድ ግብፃዊ ሰው ፎቶ
a,A photo of a Costa Rican person,Person,Costa Rican,am,የአንድ የኮስታሪካ ግለሰብ ፎቶ
a,A photo of a Costa Rican woman,Person-female,Costa Rican,am,የአንድ የኮስታሪካ ሴት ፎቶ
a,A photo of a Costa Rican man,Person-male,Costa Rican,am,የአንድ የኮስታሪካ ሰው ፎቶ
a,A photo of a Congolese person,Person,Congolese,am,የአንድ ኮንጎ ግለሰብ ፎቶ
a,A photo of a Congolese woman,Person-female,Congolese,am,የአንድ ኮንጎ ሴት ፎቶ
a,A photo of a Congolese man,Person-male,Congolese,am,የአንድ ኮንጎ ሰው ፎቶ
a,A photo of a Colombian person,Person,Colombian,am,የአንድ የኮሎምቢያ ግለሰብ ፎቶ
a,A photo of a Colombian woman,Person-female,Colombian,am,የአንድ የኮሎምቢያ ሴት ፎቶ
a,A photo of a Colombian man,Person-male,Colombian,am,የአንድ የኮሎምቢያ ሰው ፎቶ
a,A photo of a Chadian person,Person,Chadian,am,የአንድ ቻዳዊ ግለሰብ ፎቶ
a,A photo of a Chadian woman,Person-female,Chadian,am,የአንድ ቻዳዊ ሴት ፎቶ
a,A photo of a Chadian man,Person-male,Chadian,am,የአንድ ቻዳዊ ሰው ፎቶ
a,A photo of a Cameroonian person,Person,Cameroonian,am,የአንድ ካሜሩንያን ግለሰብ ፎቶ
a,A photo of a Cameroonian woman,Person-female,Cameroonian,am,የአንድ ካሜሩንያን ሴት ፎቶ
a,A photo of a Cameroonian man,Person-male,Cameroonian,am,የአንድ ካሜሩንያን ሰው ፎቶ
a,A photo of a Barundi person,Person,Barundi,am,የአንድ ባሩንዲ ግለሰብ ፎቶ
a,A photo of a Barundi woman,Person-female,Barundi,am,የአንድ ባሩንዲ ሴት ፎቶ
a,A photo of a Barundi man,Person-male,Barundi,am,የአንድ ባሩንዲ ሰው ፎቶ
a,A photo of a Bangladeshi person,Person,Bangladeshi,am,የአንድ የባንግላዲሽ ግለሰብ ፎቶ
a,A photo of a Bangladeshi woman,Person-female,Bangladeshi,am,የአንድ የባንግላዲሽ ሴት ፎቶ
a,A photo of a Bangladeshi man,Person-male,Bangladeshi,am,የአንድ የባንግላዲሽ ሰው ፎቶ
a,A photo of an Australian person,Person,Australian,am,የአንድ አውስትራሊያዊ ግለሰብ ፎቶ
a,A photo of an Australian woman,Person-female,Australian,am,የአንድ አውስትራሊያዊ ሴት ፎቶ
a,A photo of an Australian man,Person-male,Australian,am,የአንድ አውስትራሊያዊ ሰው ፎቶ
a,A photo of an Algerian person,Person,Algerian,am,የአንድ የአልጄሪያ ግለሰብ ፎቶ
a,A photo of an Algerian woman,Person-female,Algerian,am,የአንድ የአልጄሪያ ሴት ፎቶ
a,A photo of an Algerian man,Person-male,Algerian,am,የአንድ የአልጄሪያ ሰው ፎቶ
a,A photo of an Albanian person,Person,Albanian,am,የአንድ አልባኒያ ግለሰብ ፎቶ
a,A photo of an Albanian woman,Person-female,Albanian,am,የአንድ አልባኒያ ሴት ፎቶ
a,A photo of an Albanian man,Person-male,Albanian,am,የአንድ አልባኒያ ሰው ፎቶ
a,A photo of an Afghans person,Person,Afghans,am,የአንድ አፍጋኒስታን ግለሰብ ፎቶ
a,A photo of an Afghans woman,Person-female,Afghans,am,የአንድ አፍጋኒስታን ሴት ፎቶ
a,A photo of an Afghans man,Person-male,Afghans,am,የአንድ አፍጋኒስታን ሰው ፎቶ
a,A photo of an US-american person,Person,US-american,am,የአሜሪካ-አሜሪካዊ ግለሰብ ፎቶ
a,A photo of an US-american woman,Person-female,US-american,am,የአሜሪካ-አሜሪካዊት ሴት ፎቶ
a,A photo of an US-american man,Person-male,US-american,am,የአሜሪካ-አሜሪካዊ ሰው ፎቶ
a,A photo of a Turkish person,Person,Turkish,am,የአንድ የቱርክ ግለሰብ ፎቶ
a,A photo of a Turkish woman,Person-female,Turkish,am,የአንድ የቱርክ ሴት ፎቶ
a,A photo of a Turkish man,Person-male,Turkish,am,የአንድ የቱርክ ሰው ፎቶ
a,A photo of a Thai person,Person,Thai,am,የአንድ ታይ ግለሰብ ፎቶ
a,A photo of a Thai woman,Person-female,Thai,am,የአንድ ታይ ሴት ፎቶ
a,A photo of a Thai man,Person-male,Thai,am,የአንድ ታይ ሰው ፎቶ
a,A photo of a Tanzanian person,Person,Tanzanian,am,የአንድ የታንዛኒያ ግለሰብ ፎቶ
a,A photo of a Tanzanian woman,Person-female,Tanzanian,am,የአንድ የታንዛኒያ ሴት ፎቶ
a,A photo of a Tanzanian man,Person-male,Tanzanian,am,የአንድ የታንዛኒያ ሰው ፎቶ
a,A photo of a South African person,Person,South African,am,የአንድ ደቡብ አፍሪካዊ ግለሰብ ፎቶ
a,A photo of a South African woman,Person-female,South African,am,የአንድ ደቡብ አፍሪካዊ ሴት ፎቶ
a,A photo of a South African man,Person-male,South African,am,የአንድ ደቡብ አፍሪካዊ ሰው ፎቶ
a,A photo of a Serbian person,Person,Serbian,am,የአንድ ሰርቢያዊ ግለሰብ ፎቶ
a,A photo of a Serbian woman,Person-female,Serbian,am,የአንድ ሰርቢያዊ ሴት ፎቶ
a,A photo of a Serbian man,Person-male,Serbian,am,የአንድ ሰርቢያዊ ሰው ፎቶ
a,A photo of a Russian person,Person,Russian,am,የአንድ ሩሲያዊ ግለሰብ ፎቶ
a,A photo of a Russian woman,Person-female,Russian,am,የአንድ ሩሲያዊ ሴት ፎቶ
a,A photo of a Russian man,Person-male,Russian,am,የአንድ ሩሲያዊ ሰው ፎቶ
a,A photo of a Romanian person,Person,Romanian,am,የአንድ ሮማንያ ግለሰብ ፎቶ
a,A photo of a Romanian woman,Person-female,Romanian,am,የአንድ ሮማኒያ ሴት ፎቶ
a,A photo of a Romanian man,Person-male,Romanian,am,የአንድ ሮማንያ ሰው ፎቶ
a,A photo of a Polish person,Person,Polish,am,የአንድ ፖላንዳዊ ግለሰብ ፎቶ
a,A photo of a Polish woman,Person-female,Polish,am,የአንድ ፖላንዳዊ ሴት ፎቶ
a,A photo of a Polish man,Person-male,Polish,am,የአንድ ፖላንዳዊ ሰው ፎቶ
a,A photo of a Philippine person,Person,Philippine,am,የአንድ የፊሊፒንስ ግለሰብ ፎቶ
a,A photo of a Philippine woman,Person-female,Philippine,am,የአንድ የፊሊፒንስ ሴት ፎቶ
a,A photo of a Philippine man,Person-male,Philippine,am,የአንድ የፊሊፒንስ ሰው ፎቶ
a,A photo of a North Korean person,Person,North Korean,am,የአንድ የሰሜን ኮሪያ ግለሰብ ፎቶ
a,A photo of a North Korean woman,Person-female,North Korean,am,የአንድ የሰሜን ኮሪያ ሴት ፎቶ
a,A photo of a North Korean man,Person-male,North Korean,am,የአንድ የሰሜን ኮሪያ ሰው ፎቶ
a,A photo of a Moroccan person,Person,Moroccan,am,የአንድ የሞሮኮ ግለሰብ ፎቶ
a,A photo of a Moroccan woman,Person-female,Moroccan,am,የአንድ የሞሮኮ ሴት ፎቶ
a,A photo of a Moroccan man,Person-male,Moroccan,am,የአንድ የሞሮኮ ሰው ፎቶ
a,A photo of a Montenegrin person,Person,Montenegrin,am,የአንድ ሞንቴኔግሮ ግለሰብ ፎቶ
a,A photo of a Montenegrin woman,Person-female,Montenegrin,am,የአንድ ሞንቴኔግሮ ሴት ፎቶ
a,A photo of a Montenegrin man,Person-male,Montenegrin,am,የአንድ ሞንቴኔግሮ ሰው ፎቶ
a,A photo of a Mongolian person,Person,Mongolian,am,የአንድ የሞንጎሊያ ግለሰብ ፎቶ
a,A photo of a Mongolian woman,Person-female,Mongolian,am,የአንድ የሞንጎሊያ ሴት ፎቶ
a,A photo of a Mongolian man,Person-male,Mongolian,am,የአንድ የሞንጎሊያ ሰው ፎቶ
a,A photo of a Macedonian person,Person,Macedonian,am,የአንድ የመቄዶንያ ግለሰብ ፎቶ
a,A photo of a Macedonian woman,Person-female,Macedonian,am,የአንድ የመቄዶንያ ሴት ፎቶ
a,A photo of a Macedonian man,Person-male,Macedonian,am,የአንድ የመቄዶንያ ሰው ፎቶ
a,A photo of a Japanese person,Person,Japanese,am,የአንድ ጃፓናዊ ግለሰብ ፎቶ
a,A photo of a Japanese woman,Person-female,Japanese,am,የአንድ ጃፓናዊ ሴት ፎቶ
a,A photo of a Japanese man,Person-male,Japanese,am,የአንድ ጃፓናዊ ሰው ፎቶ
a,A photo of an Ivorians person,Person,Ivorians,am,የአንድ አይቮሪያን ግለሰብ ፎቶ
a,A photo of an Ivorians woman,Person-female,Ivorians,am,የአንድ አይቮሪያን ሴት ፎቶ
a,A photo of an Ivorians man,Person-male,Ivorians,am,የአንድ አይቮሪያን ሰው ፎቶ
a,A photo of an Irish person,Person,Irish,am,የአንድ አይሪሽ ግለሰብ ፎቶ
a,A photo of an Irish woman,Person-female,Irish,am,የአንድ አይሪሽ ሴት ፎቶ
a,A photo of an Irish man,Person-male,Irish,am,የአንድ አይሪሽ ሰው ፎቶ
a,A photo of a Gabonese person,Person,Gabonese,am,የአንድ ጋቦናዊ ግለሰብ ፎቶ
a,A photo of a Gabonese woman,Person-female,Gabonese,am,የአንድ ጋቦናዊ ሴት ፎቶ
a,A photo of a Gabonese man,Person-male,Gabonese,am,የአንድ ጋቦናዊ ሰው ፎቶ
a,A photo of an Equatorial Guinean person,Person,Equatorial Guinean,am,የአንድ የኢኳቶሪያል ጊኒ ግለሰብ ፎቶ
a,A photo of an Equatorial Guinean woman,Person-female,Equatorial Guinean,am,የአንድ የኢኳቶሪያል ጊኒ ሴት ፎቶ
a,A photo of an Equatorial Guinean man,Person-male,Equatorial Guinean,am,የአንድ የኢኳቶሪያል ጊኒ ሰው ፎቶ
a,A photo of a Cypriot person,Person,Cypriot,am,የአንድ የቆጵሮስ ግለሰብ ፎቶ
a,A photo of a Cypriot woman,Person-female,Cypriot,am,የአንድ የቆጵሮስ ሴት ፎቶ
a,A photo of a Cypriot man,Person-male,Cypriot,am,የአንድ የቆጵሮስ ሰው ፎቶ
a,A photo of a Croatian person,Person,Croatian,am,የአንድ ክሮኤሽያ ግለሰብ ፎቶ
a,A photo of a Croatian woman,Person-female,Croatian,am,የአንድ ክሮኤሺያ ሴት ፎቶ
a,A photo of a Croatian man,Person-male,Croatian,am,የአንድ ክሮኤሽያ ሰው ፎቶ
a,A photo of a Chinese person,Person,Chinese,am,የአንድ ቻይናዊ ግለሰብ ፎቶ
a,A photo of a Chinese woman,Person-female,Chinese,am,የአንድ ቻይናዊ ሴት ፎቶ
a,A photo of a Chinese man,Person-male,Chinese,am,የአንድ ቻይናዊ ሰው ፎቶ
a,A photo of a Chilean person,Person,Chilean,am,የአንድ ቺሊ ግለሰብ ፎቶ
a,A photo of a Chilean woman,Person-female,Chilean,am,የአንድ ቺሊ ሴት ፎቶ
a,A photo of a Chilean man,Person-male,Chilean,am,የአንድ ቺሊ ሰው ፎቶ
a,A photo of a Cambodian person,Person,Cambodian,am,የአንድ የካምቦዲያ ግለሰብ ፎቶ
a,A photo of a Cambodian woman,Person-female,Cambodian,am,የአንድ የካምቦዲያ ሴት ፎቶ
a,A photo of a Cambodian man,Person-male,Cambodian,am,የአንድ የካምቦዲያ ሰው ፎቶ
a,A photo of a Bulgarian person,Person,Bulgarian,am,የአንድ የቡልጋሪያ ግለሰብ ፎቶ
a,A photo of a Bulgarian woman,Person-female,Bulgarian,am,የአንድ የቡልጋሪያ ሴት ፎቶ
a,A photo of a Bulgarian man,Person-male,Bulgarian,am,የአንድ የቡልጋሪያ ሰው ፎቶ
a,A photo of a Brazilian person,Person,Brazilian,am,የአንድ ብራዚላዊ ግለሰብ ፎቶ
a,A photo of a Brazilian woman,Person-female,Brazilian,am,የአንድ ብራዚላዊ ሴት ፎቶ
a,A photo of a Brazilian man,Person-male,Brazilian,am,የአንድ ብራዚላዊ ሰው ፎቶ
a,A photo of a Beninois person,Person,Beninois,am,የአንድ የቤኒኖይስ ግለሰብ ፎቶ
a,A photo of a Beninois woman,Person-female,Beninois,am,የአንድ የቤኒኖይስ ሴት ፎቶ
a,A photo of a Beninois man,Person-male,Beninois,am,የአንድ የቤኒኖይስ ሰው ፎቶ
a,A photo of a Belgian person,Person,Belgian,am,የአንድ የቤልጂየም ግለሰብ ፎቶ
a,A photo of a Belgian woman,Person-female,Belgian,am,የአንድ የቤልጂየም ሴት ፎቶ
a,A photo of a Belgian man,Person-male,Belgian,am,የአንድ የቤልጂየም ሰው ፎቶ
a,A photo of an Azerbaijani person,Person,Azerbaijani,am,የአንድ አዘርባጃኒ ግለሰብ ፎቶ
a,A photo of an Azerbaijani woman,Person-female,Azerbaijani,am,የአንድ አዘርባጃኒ ሴት ፎቶ
a,A photo of an Azerbaijani man,Person-male,Azerbaijani,am,የአንድ አዘርባጃኒ ሰው ፎቶ
a,A photo of an Armenian person,Person,Armenian,am,የአንድ አርሜናዊ ግለሰብ ፎቶ
a,A photo of an Armenian woman,Person-female,Armenian,am,የአንድ አርመናዊ ሴት ፎቶ
a,A photo of an Armenian man,Person-male,Armenian,am,የአንድ አርመናዊ ሰው ፎቶ
a,A photo of an Argentinian person,Person,Argentinian,am,የአንድ የአርጀንቲና ግለሰብ ፎቶ
a,A photo of an Argentinian woman,Person-female,Argentinian,am,የአንድ አርጀንቲና ሴት ፎቶ
a,A photo of an Argentinian man,Person-male,Argentinian,am,የአንድ የአርጀንቲና ሰው ፎቶ
a,A photo of an Angolan person,Person,Angolan,am,የአንድ አንጎላ ግለሰብ ፎቶ
a,A photo of an Angolan woman,Person-female,Angolan,am,የአንድ አንጎላ ሴት ፎቶ
a,A photo of an Angolan man,Person-male,Angolan,am,የአንድ አንጎላ ሰው ፎቶ
a,A photo of a Venezuelan person,Person,Venezuelan,am,የአንድ የቬንዙዌላ ግለሰብ ፎቶ
a,A photo of a Venezuelan woman,Person-female,Venezuelan,am,የአንድ የቬንዙዌላ ሴት ፎቶ
a,A photo of a Venezuelan man,Person-male,Venezuelan,am,የአንድ የቬንዙዌላ ሰው ፎቶ
a,A photo of an Uruguayan person,Person,Uruguayan,am,የአንድ የኡራጓይ ግለሰብ ፎቶ
a,A photo of an Uruguayan woman,Person-female,Uruguayan,am,የአንድ የኡራጓይ ሴት ፎቶ
